,Actual Speed,Goal Speed,Goal Status,Ori W,Ori X,Ori Y,Ori Z,Pos X,Pos Y,Pos Z,Time
98,4.0133786764,1.5229935597000002,0,0.9042010726,-0.0039274128,0.0091859777,0.4269901796,13.8556665272,-9.6665357805,0.1969257949,7.82
99,3.7202092018,1.5229935597000002,0,0.9054108502,-0.0043663885,0.0094165764,0.424409537,13.9107830423,-9.60024722,0.1970126931,7.8425
100,3.6786510665,5.0764989153,0,0.9071501333,-0.0030319302,0.0080598847,0.42071900510000004,13.9959690734,-9.5005050639,0.1971312826,7.9025
101,3.7203857969,5.0764989153,0,0.9053224453000001,0.008870942100000001,-0.0089626746,0.424537686,14.2251604999,-9.2337740853,0.1964924915,7.985
102,3.9610261559,5.0764989153,0,0.9052979215,0.0059749544,-0.006785429000000001,0.42468097590000004,14.2996289727,-9.1438472232,0.1961457207,8.01
103,4.1271418528,5.0764989153,0,0.9055258301,0.0045685037000000005,-0.006044044,0.42422348990000003,14.3637671525,-9.0655847558,0.1961295726,8.0375
104,4.1601017853,6.7737274531,0,0.9085396244,0.0044791656000000004,-0.0095115002,0.41766639710000003,14.5334791665,-8.8619515657,0.19652819740000002,8.0975
105,4.7878535412000005,6.7737274531,0,0.9101381364000001,0.0047778233,-0.0074811301,0.4142098233,14.7125384086,-8.6573104781,0.1969418491,8.17
106,4.8222528933,6.7737274531,0,0.9095187960000001,0.005461960300000001,-0.0069004763000000005,0.4155696213,14.815540163,-8.541318463,0.1967807167,8.2
107,5.4064332921,6.7737274531,0,0.910297181,0.003968963,-0.0066808035000000005,0.4138824186,15.0922155718,-8.2248718898,0.1966312751,8.265
108,5.7993652079,6.7737274531,0,0.9125763748,0.0048290125,-0.010015221000000001,0.40875510530000003,15.1898032135,-8.1135197028,0.1967627753,8.295
109,5.8526342003,6.7737274531,0,0.9144103582,0.0022502746000000002,-0.008173442900000001,0.4046996761,15.34720211,-7.937440695,0.1969371185,8.355
110,6.0748201575,6.7737274531,0,0.9131063340000001,0.0061441281,-0.006470210200000001,0.40762385710000004,15.6245248998,-7.635975826,0.1967316583,8.42
111,6.3127493661,8.8413146615,0,0.912576452,0.0055919074,-0.0043132144,0.40884513710000003,15.7697267752,-7.4769523967,0.1965191145,8.4625
112,6.3905706429,8.8413146615,0,0.9141823383000001,0.0011157045,-0.0012842008000000002,0.4052995908,15.9283612165,-7.3008738356,0.19657540710000002,8.485
113,6.0338290163,2.0014706919,0,0.9167898532000001,0.0081769214,-0.0134941685,0.3990581543,16.1798222552,-7.0240490005,0.196889012,8.5475
114,6.6680888608,5.2037969794,0,0.9138294257,-0.0013268839000000001,0.0168669034,0.40574564420000003,16.4310899708,-6.7510951473,0.1970809621,8.5975
115,6.8910752506,5.2037969794,0,0.9064941685000001,0.010786727500000001,0.0178405464,0.4217033127,16.5737719173,-6.5928675972,0.19738024780000002,8.645
116,6.1215470948,5.2037969794,0,0.8925617490000001,0.0168059456,0.019060640400000002,0.4502085921,16.8277383069,-6.2820442708,0.1979985537,8.68
